login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
prateek27,prateek27/algo-pitampura-dec-2018,2018-12-14T12:57:21Z,36,36,C++,True,True,
prateek27,prateek27/Algorithms,2014-06-27T09:33:41Z,62,62,C++,True,True,
prateek27,prateek27/all-about-weather,2015-07-15T20:12:26Z,0,0,Java,True,True,
prateek27,prateek27/android-FlipView,2014-06-19T10:38:55Z,0,0,Java,True,True,apache-2.0
prateek27,prateek27/Android-SlideExpandableListView,2014-06-23T07:13:55Z,0,0,Java,True,True,apache-2.0
prateek27,prateek27/Android-Swipe-View,2014-07-13T19:46:46Z,0,0,Java,True,True,
prateek27,prateek27/android-word-cloud,2014-07-04T14:52:12Z,0,0,JavaScript,True,True,
prateek27,prateek27/android_animation_test,2014-06-18T08:03:33Z,0,0,,True,True,
prateek27,prateek27/angry-coders,2016-11-21T07:41:28Z,0,0,,True,True,
prateek27,prateek27/Blocks-of-Code-,2017-07-29T09:43:38Z,7,7,C++,True,True,
prateek27,prateek27/blog-prateek27.github.io-default,2015-01-01T17:37:42Z,1,1,JavaScript,True,True,
prateek27,prateek27/blood-cell-object-detection,2019-01-16T12:35:30Z,0,0,,True,True,
prateek27,prateek27/building-snakes-game-tutorial,2018-01-07T11:21:48Z,3,3,JavaScript,True,True,
prateek27,prateek27/bvp-markov-chain-workshop,2019-02-07T13:22:04Z,2,2,Jupyter Notebook,True,True,
prateek27,prateek27/ca-poster-generator,2018-06-07T10:40:46Z,1,1,Python,True,True,
prateek27,prateek27/calculator-javascript,2014-08-07T19:22:15Z,0,0,CSS,True,True,
prateek27,prateek27/cardslib,2014-06-17T19:37:43Z,0,0,Java,True,False,
prateek27,prateek27/cardsui-for-android,2014-06-23T07:51:48Z,0,0,Java,True,True,apache-2.0
prateek27,prateek27/cartoon-gan,2019-07-25T17:23:41Z,2,2,,True,True,
prateek27,prateek27/Catch-The-Pappu,2013-08-20T11:02:47Z,0,0,,True,True,
prateek27,prateek27/cfi-team30,2015-09-27T13:35:25Z,0,0,HTML,True,True,apache-2.0
prateek27,prateek27/cgc-workshop,2019-07-31T07:33:59Z,0,0,Jupyter Notebook,True,True,
prateek27,prateek27/Classical-Piano-Composer,2018-10-23T19:04:49Z,0,0,Python,True,True,
prateek27,prateek27/cnn-basics,2020-03-14T06:38:39Z,1,1,,True,True,
prateek27,prateek27/coding-orientation,2019-07-28T09:14:39Z,0,0,Jupyter Notebook,True,True,
Hack-with-Github,Hack-with-Github/Android-Sec,2016-07-03T12:54:05Z,35,35,,True,True,cc0-1.0
Hack-with-Github,Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,84478,84478,,False,False,cc0-1.0
Hack-with-Github,Hack-with-Github/Awesome-Hacking-Tools,2016-04-05T14:50:31Z,142,142,,True,True,apache-2.0
Hack-with-Github,Hack-with-Github/Awesome-Security-Gists,2017-08-10T15:23:10Z,894,894,,True,False,cc0-1.0
Hack-with-Github,Hack-with-Github/Free-Security-eBooks,2016-04-21T12:26:50Z,4322,4322,,True,False,
Hack-with-Github,Hack-with-Github/InfoSec-Badges,2017-11-12T18:01:19Z,115,115,,True,False,
Hack-with-Github,Hack-with-Github/Peerlyst,2016-10-12T05:39:24Z,36,36,,True,True,apache-2.0
Hack-with-Github,Hack-with-Github/Powerful-Plugins,2016-04-29T10:44:18Z,826,826,,True,False,cc0-1.0
Hack-with-Github,Hack-with-Github/Revoke_API_Keys,2016-10-29T08:20:28Z,44,44,,True,True,mit
Hack-with-Github,Hack-with-Github/Security-Bookmarks,2016-11-20T06:44:15Z,51,51,,True,False,
Hack-with-Github,Hack-with-Github/Windows,2016-07-26T15:15:32Z,1565,1565,,True,True,
rahuldkjain,rahuldkjain/3d-animations,2023-03-10T15:07:11Z,6,6,TypeScript,True,True,apache-2.0
rahuldkjain,rahuldkjain/abhijithvijayan.in,2019-10-20T07:00:18Z,1,1,,True,False,mit
rahuldkjain,rahuldkjain/AdobeXD_Cheatsheet,2019-03-06T14:48:13Z,0,0,,True,True,
rahuldkjain,rahuldkjain/AI_Freelancing,2018-06-17T03:33:17Z,0,0,,True,True,
rahuldkjain,rahuldkjain/animations,2021-05-16T04:00:22Z,9,9,JavaScript,True,True,gpl-3.0
rahuldkjain,rahuldkjain/awesome-computer-science-opportunities,2019-04-13T13:22:25Z,2,2,,True,True,mit
rahuldkjain,rahuldkjain/awesome-frontendmasters,2020-11-21T07:46:05Z,309,309,,True,True,cc0-1.0
rahuldkjain,rahuldkjain/awesome-interview-questions,2019-09-06T05:22:44Z,2,2,,True,True,
rahuldkjain,rahuldkjain/awesome-python,2019-09-06T05:16:42Z,3,3,,True,False,other
rahuldkjain,rahuldkjain/awesome-vue,2019-07-08T03:25:59Z,0,0,,True,False,
rahuldkjain,rahuldkjain/Bill,2017-10-01T10:49:05Z,0,0,PHP,True,True,
rahuldkjain,rahuldkjain/blog,2020-05-18T02:31:09Z,3,3,HTML,True,True,
rahuldkjain,rahuldkjain/Budgety,2018-01-07T07:58:44Z,2,2,JavaScript,True,True,
rahuldkjain,rahuldkjain/Car-Pool,2018-09-09T04:13:12Z,1,1,HTML,True,True,
rahuldkjain,rahuldkjain/cards-stack-animation,2022-03-09T05:15:54Z,20,20,TypeScript,True,True,apache-2.0
rahuldkjain,rahuldkjain/Chatbot,2018-12-05T04:35:19Z,0,0,Python,True,True,
rahuldkjain,rahuldkjain/classification-using-custom-activation-functions,2020-05-30T04:49:33Z,1,1,Jupyter Notebook,True,True,gpl-3.0
rahuldkjain,rahuldkjain/coala-bears,2018-08-25T13:58:13Z,0,0,Python,True,False,agpl-3.0
rahuldkjain,rahuldkjain/color-themes,2019-10-17T05:33:20Z,0,0,Vue,True,True,mit
rahuldkjain,rahuldkjain/cool-bio-analytics,2021-07-14T05:06:14Z,4,4,JavaScript,True,True,mit
rahuldkjain,rahuldkjain/CoviThread,2019-05-18T04:35:24Z,0,0,Java,True,True,
rahuldkjain,rahuldkjain/CP,2018-07-13T10:02:40Z,0,0,Python,True,True,
rahuldkjain,rahuldkjain/Crop_Prediction,2019-03-02T05:50:40Z,63,63,HTML,True,True,
rahuldkjain,rahuldkjain/css-animation-transition-cheatsheet,2019-08-26T13:16:50Z,1,1,CSS,True,True,
rahuldkjain,rahuldkjain/css-grid-cheatsheet,2019-08-26T13:16:05Z,1,1,HTML,True,True,
rahuldkjain,rahuldkjain/Data-Structures-using-Python,2018-08-16T13:43:46Z,2,2,Jupyter Notebook,True,True,gpl-3.0
rahuldkjain,rahuldkjain/developerFolio,2020-04-10T14:23:41Z,4,4,,True,True,gpl-3.0
rahuldkjain,rahuldkjain/dhundho,2019-08-03T05:41:00Z,1,1,Java,True,True,
rahuldkjain,rahuldkjain/dhundho-frontend,2019-08-03T06:00:32Z,1,1,JavaScript,True,True,
rahuldkjain,rahuldkjain/django-notifications,2019-02-07T11:35:15Z,0,0,Python,True,True,bsd-3-clause
callicoder,callicoder/algorhythm,2015-05-18T17:59:23Z,3,3,C++,True,True,mit
callicoder,callicoder/AndroidRTC,2016-12-20T12:33:49Z,1,1,Java,True,True,other
